"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\domains\silerium\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\OSPanel\domains\silerium\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 12, 6, 33
"c:\OSPanel\domains\silerium\app\Enum\OrderStatus.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\OSPanel\domains\silerium\app\Enum\SortOrder.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\OSPanel\domains\silerium\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 23, 7, 51
"c:\OSPanel\domains\silerium\app\Facades\Currency.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\OSPanel\domains\silerium\app\Http\Controllers\CatalogController.php", "PHP", 0, 116, 0, 0, 0, 0, 0, 4, 120
"c:\OSPanel\domains\silerium\app\Http\Controllers\CategoriesController.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\OSPanel\domains\silerium\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\OSPanel\domains\silerium\app\Http\Controllers\HomeController.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\OSPanel\domains\silerium\app\Http\Controllers\UserController.php", "PHP", 0, 291, 0, 0, 0, 0, 0, 3, 294
"c:\OSPanel\domains\silerium\app\Http\Kernel.php", "PHP", 0, 40, 0, 0, 0, 0, 21, 7, 68
"c:\OSPanel\domains\silerium\app\Http\Middleware\Authenticate.php", "PHP", 0, 12, 0, 0, 0, 0, 6, 4, 22
"c:\OSPanel\domains\silerium\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\OSPanel\domains\silerium\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\OSPanel\domains\silerium\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 19, 0, 0, 0, 0, 8, 6, 33
"c:\OSPanel\domains\silerium\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 5, 4, 20
"c:\OSPanel\domains\silerium\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\OSPanel\domains\silerium\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 10, 5, 29
"c:\OSPanel\domains\silerium\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\OSPanel\domains\silerium\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\OSPanel\domains\silerium\app\Models\Category.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\OSPanel\domains\silerium\app\Models\Order.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\OSPanel\domains\silerium\app\Models\Product.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\OSPanel\domains\silerium\app\Models\ProductImage.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\OSPanel\domains\silerium\app\Models\ProductSpecifications.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\OSPanel\domains\silerium\app\Models\Review.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\OSPanel\domains\silerium\app\Models\ReviewsImages.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\OSPanel\domains\silerium\app\Models\Subcategory.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\OSPanel\domains\silerium\app\Models\User.php", "PHP", 0, 37, 0, 0, 0, 0, 16, 8, 61
"c:\OSPanel\domains\silerium\app\Providers\AppServiceProvider.php", "PHP", 0, 14, 0, 0, 0, 0, 11, 5, 30
"c:\OSPanel\domains\silerium\app\Providers\AuthServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 13, 6, 31
"c:\OSPanel\domains\silerium\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 5, 22
"c:\OSPanel\domains\silerium\app\Providers\ConvertCurrencyServiceProvider.php", "PHP", 0, 16, 0, 0, 0, 0, 11, 5, 32
"c:\OSPanel\domains\silerium\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 16, 6, 43
"c:\OSPanel\domains\silerium\app\Providers\PhoneValidationProvider.php", "PHP", 0, 17, 0, 0, 0, 0, 11, 5, 33
"c:\OSPanel\domains\silerium\app\Providers\RouteServiceProvider.php", "PHP", 0, 28, 0, 0, 0, 0, 17, 8, 53
"c:\OSPanel\domains\silerium\app\Services\ConvertCurrencyService.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 0, 14
"c:\OSPanel\domains\silerium\app\Services\PhoneValidationService.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\OSPanel\domains\silerium\app\View\Components\Error.php", "PHP", 0, 15, 0, 0, 0, 0, 10, 5, 30
"c:\OSPanel\domains\silerium\app\View\Components\Layout.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\OSPanel\domains\silerium\app\View\Components\Pagination.php", "PHP", 0, 15, 0, 0, 0, 0, 10, 5, 30
"c:\OSPanel\domains\silerium\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 30, 9, 56
"c:\OSPanel\domains\silerium\composer.json", "JSON", 0, 0, 0, 0, 71, 0, 0, 1, 72
"c:\OSPanel\domains\silerium\composer.lock", "JSON", 0, 0, 0, 0, 9172, 0, 0, 1, 9173
"c:\OSPanel\domains\silerium\config\app.php", "PHP", 0, 52, 0, 0, 0, 0, 134, 32, 218
"c:\OSPanel\domains\silerium\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 70, 14, 112
"c:\OSPanel\domains\silerium\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 23, 13, 71
"c:\OSPanel\domains\silerium\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 34, 19, 111
"c:\OSPanel\domains\silerium\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 29, 3, 35
"c:\OSPanel\domains\silerium\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 21, 151
