Date : 2023-09-29 17:08:26
Directory : c:\OSPanel\domains\silerium
Total : 135 files,  17002 codes, 1426 comments, 701 blanks, all 19129 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     12,714 |          0 |          5 |     12,719 |
| PHP        |        119 |      4,047 |      1,401 |        662 |      6,110 |
| JavaScript |          6 |        133 |         23 |         15 |        171 |
| CSS        |          3 |         75 |          2 |         17 |         94 |
| XML        |          1 |         31 |          0 |          1 |         32 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        135 |     17,002 |      1,426 |        701 |     19,129 |
| . (Files)                                                                                                 |          9 |     12,682 |          0 |         12 |     12,694 |
| app                                                                                                       |         41 |      1,045 |        243 |        182 |      1,470 |
| app\Console                                                                                               |          1 |         15 |         12 |          6 |         33 |
| app\Enum                                                                                                  |          2 |         27 |          0 |          2 |         29 |
| app\Exceptions                                                                                            |          1 |         21 |         23 |          7 |         51 |
| app\Facades                                                                                               |          1 |         10 |          0 |          3 |         13 |
| app\Http                                                                                                  |         15 |        584 |         84 |         65 |        733 |
| app\Http (Files)                                                                                          |          1 |         40 |         21 |          7 |         68 |
| app\Http\Controllers                                                                                      |          5 |        444 |          0 |         19 |        463 |
| app\Http\Middleware                                                                                       |          9 |        100 |         63 |         39 |        202 |
| app\Models                                                                                                |          9 |        207 |         16 |         43 |        266 |
| app\Providers                                                                                             |          7 |        120 |         84 |         40 |        244 |
| app\Services                                                                                              |          2 |         18 |          4 |          1 |         23 |
| app\View                                                                                                  |          3 |         43 |         20 |         15 |         78 |
| app\View\Components                                                                                       |          3 |         43 |         20 |         15 |         78 |
| bootstrap                                                                                                 |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                    |         15 |        546 |        733 |        237 |      1,516 |
| database                                                                                                  |         27 |        552 |        248 |        109 |        909 |
| database\factories                                                                                        |          3 |         58 |         29 |         13 |        100 |
| database\migrations                                                                                       |         19 |        388 |        193 |         76 |        657 |
| database\seeders                                                                                          |          5 |        106 |         26 |         20 |        152 |
| lang                                                                                                      |          7 |        685 |         60 |         33 |        778 |
| lang\en                                                                                                   |          4 |        165 |         60 |         24 |        249 |
| lang\ru                                                                                                   |          3 |        520 |          0 |          9 |        529 |
| public                                                                                                    |          2 |         86 |         30 |         29 |        145 |
| public (Files)                                                                                            |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                |          1 |         72 |          0 |         17 |         89 |
| resources                                                                                                 |         23 |      1,286 |         24 |         49 |      1,359 |
| resources\css                                                                                             |          1 |          2 |          0 |          0 |          2 |
| resources\js                                                                                              |          2 |         13 |         23 |          8 |         44 |
| resources\views                                                                                           |         20 |      1,271 |          1 |         41 |      1,313 |
| resources\views (Files)                                                                                   |          1 |         67 |          0 |          2 |         69 |
| resources\views\catalog                                                                                   |          3 |        411 |          1 |         16 |        428 |
| resources\views\categories                                                                                |          2 |         55 |          0 |          4 |         59 |
| resources\views\components                                                                                |          3 |        114 |          0 |          4 |        118 |
| resources\views\pagination                                                                                |          1 |         43 |          0 |          4 |         47 |
| resources\views\user                                                                                      |         10 |        581 |          0 |         11 |        592 |
| resources\views\user (Files)                                                                              |          3 |        235 |          0 |          4 |        239 |
| resources\views\user\auth                                                                                 |          2 |        114 |          0 |          3 |        117 |
| resources\views\user\orders                                                                               |          2 |         63 |          0 |          2 |         65 |
| resources\views\user\review                                                                               |          3 |        169 |          0 |          2 |        171 |
| routes                                                                                                    |          4 |         56 |         40 |         21 |        117 |
| tests                                                                                                     |          4 |         40 |         16 |         19 |         75 |
| tests (Files)                                                                                             |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                             |          1 |         11 |          6 |          5 |         22 |
| tests\Unit                                                                                                |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                    |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                             |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                    |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                          |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                 |          2 |          7 |          2 |          1 |         10 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\OSPanel\domains\silerium\README.md                                                                     | Markdown   |          2 |          0 |          1 |          3 |
| c:\OSPanel\domains\silerium\app\Console\Kernel.php                                                        | PHP        |         15 |         12 |          6 |         33 |
| c:\OSPanel\domains\silerium\app\Enum\OrderStatus.php                                                      | PHP        |         16 |          0 |          1 |         17 |
| c:\OSPanel\domains\silerium\app\Enum\SortOrder.php                                                        | PHP        |         11 |          0 |          1 |         12 |
| c:\OSPanel\domains\silerium\app\Exceptions\Handler.php                                                    | PHP        |         21 |         23 |          7 |         51 |
| c:\OSPanel\domains\silerium\app\Facades\Currency.php                                                      | PHP        |         10 |          0 |          3 |         13 |
| c:\OSPanel\domains\silerium\app\Http\Controllers\CatalogController.php                                    | PHP        |        116 |          0 |          4 |        120 |
| c:\OSPanel\domains\silerium\app\Http\Controllers\CategoriesController.php                                 | PHP        |         17 |          0 |          4 |         21 |
| c:\OSPanel\domains\silerium\app\Http\Controllers\Controller.php                                           | PHP        |         10 |          0 |          4 |         14 |
| c:\OSPanel\domains\silerium\app\Http\Controllers\HomeController.php                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\OSPanel\domains\silerium\app\Http\Controllers\UserController.php                                       | PHP        |        291 |          0 |          3 |        294 |
| c:\OSPanel\domains\silerium\app\Http\Kernel.php                                                           | PHP        |         40 |         21 |          7 |         68 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\Authenticate.php                                          | PHP        |         12 |          6 |          4 |         22 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         19 |          8 |          6 |         33 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| c:\OSPanel\domains\silerium\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| c:\OSPanel\domains\silerium\app\Models\Category.php                                                       | PHP        |         13 |          0 |          4 |         17 |
| c:\OSPanel\domains\silerium\app\Models\Order.php                                                          | PHP        |         27 |          0 |          4 |         31 |
| c:\OSPanel\domains\silerium\app\Models\Product.php                                                        | PHP        |         36 |          0 |          4 |         40 |
| c:\OSPanel\domains\silerium\app\Models\ProductImage.php                                                   | PHP        |         12 |          0 |          4 |         16 |
| c:\OSPanel\domains\silerium\app\Models\ProductSpecifications.php                                          | PHP        |         18 |          0 |          4 |         22 |
| c:\OSPanel\domains\silerium\app\Models\Review.php                                                         | PHP        |         36 |          0 |          7 |         43 |
| c:\OSPanel\domains\silerium\app\Models\ReviewsImages.php                                                  | PHP        |         12 |          0 |          4 |         16 |
| c:\OSPanel\domains\silerium\app\Models\Subcategory.php                                                    | PHP        |         16 |          0 |          4 |         20 |
| c:\OSPanel\domains\silerium\app\Models\User.php                                                           | PHP        |         37 |         16 |          8 |         61 |
| c:\OSPanel\domains\silerium\app\Providers\AppServiceProvider.php                                          | PHP        |         14 |         11 |          5 |         30 |
| c:\OSPanel\domains\silerium\app\Providers\AuthServiceProvider.php                                         | PHP        |         12 |         13 |          6 |         31 |
| c:\OSPanel\domains\silerium\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          5 |          5 |         22 |
| c:\OSPanel\domains\silerium\app\Providers\ConvertCurrencyServiceProvider.php                              | PHP        |         16 |         11 |          5 |         32 |
| c:\OSPanel\domains\silerium\app\Providers\EventServiceProvider.php                                        | PHP        |         21 |         16 |          6 |         43 |
| c:\OSPanel\domains\silerium\app\Providers\PhoneValidationProvider.php                                     | PHP        |         17 |         11 |          5 |         33 |
| c:\OSPanel\domains\silerium\app\Providers\RouteServiceProvider.php                                        | PHP        |         28 |         17 |          8 |         53 |
| c:\OSPanel\domains\silerium\app\Services\ConvertCurrencyService.php                                       | PHP        |         10 |          4 |          0 |         14 |
| c:\OSPanel\domains\silerium\app\Services\PhoneValidationService.php                                       | PHP        |          8 |          0 |          1 |          9 |
| c:\OSPanel\domains\silerium\app\View\Components\Error.php                                                 | PHP        |         15 |         10 |          5 |         30 |
| c:\OSPanel\domains\silerium\app\View\Components\Layout.php                                                | PHP        |         13 |          0 |          5 |         18 |
| c:\OSPanel\domains\silerium\app\View\Components\Pagination.php                                            | PHP        |         15 |         10 |          5 |         30 |
| c:\OSPanel\domains\silerium\bootstrap\app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| c:\OSPanel\domains\silerium\composer.json                                                                 | JSON       |         71 |          0 |          1 |         72 |
| c:\OSPanel\domains\silerium\composer.lock                                                                 | JSON       |      9,172 |          0 |          1 |      9,173 |
| c:\OSPanel\domains\silerium\config\app.php                                                                | PHP        |         52 |        134 |         32 |        218 |
| c:\OSPanel\domains\silerium\config\auth.php                                                               | PHP        |         28 |         70 |         14 |        112 |
| c:\OSPanel\domains\silerium\config\broadcasting.php                                                       | PHP        |         35 |         23 |         13 |         71 |
| c:\OSPanel\domains\silerium\config\cache.php                                                              | PHP        |         58 |         34 |         19 |        111 |
| c:\OSPanel\domains\silerium\config\cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| c:\OSPanel\domains\silerium\config\database.php                                                           | PHP        |         83 |         47 |         21 |        151 |
| c:\OSPanel\domains\silerium\config\filesystems.php                                                        | PHP        |         41 |         32 |         14 |         87 |
| c:\OSPanel\domains\silerium\config\hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| c:\OSPanel\domains\silerium\config\logging.php                                                            | PHP        |         70 |         34 |         19 |        123 |
| c:\OSPanel\domains\silerium\config\mail.php                                                               | PHP        |         53 |         47 |         19 |        119 |
| c:\OSPanel\domains\silerium\config\queue.php                                                              | PHP        |         47 |         32 |         15 |         94 |
| c:\OSPanel\domains\silerium\config\sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| c:\OSPanel\domains\silerium\config\services.php                                                           | PHP        |         17 |         11 |          7 |         35 |
| c:\OSPanel\domains\silerium\config\session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| c:\OSPanel\domains\silerium\config\view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| c:\OSPanel\domains\silerium\database\factories\ProductFactory.php                                         | PHP        |         20 |          8 |          4 |         32 |
