"filename", "language", "PHP", "SQL", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\.osp\Apache\info-silerium.com.conf", "Properties", 0, 0, 0, 9, 0, 0, 9
"c:\Users\admin\source\repos\Silerium_laravel\app\Enum\OrganizationType.php", "PHP", 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\source\repos\Silerium_laravel\app\Enum\TaxSystem.php", "PHP", 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\CheckUserRoleFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ConvertCurrency.php", "PHP", -10, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ConvertCurrencyFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\FilterItemsFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ManualPaginatorFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\OrderServiceFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ProductServiceFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ReviewServiceFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\UserServiceFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidateEmail.php", "PHP", -10, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidateEmailFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePasswordHashFacade.php", "PHP", 10, 0, 0, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePhone.php", "PHP", -10, 0, 0, 0, 0, -3, -13
