"filename", "language", "PHP", "XML", "CSS", "SQL", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\.osp\project.ini", "Ini", 0, 0, 0, 0, 0, -1, 1, 0, 0
"c:\Users\admin\source\repos\Silerium_laravel\.phpstorm.meta.php", "PHP", 2270, 0, 0, 0, 0, 0, 7, 6, 2283
"c:\Users\admin\source\repos\Silerium_laravel\_ide_helper.php", "PHP", 7194, 0, 0, 0, 0, 0, 15162, 340, 22696
"c:\Users\admin\source\repos\Silerium_laravel\_ide_helper_models.php", "PHP", 34, 0, 0, 0, 0, 0, 305, 15, 354
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\FilterItemsFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ManualPaginatorFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\OrderServiceFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ProductCartServiceFacade.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ProductServiceFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ReviewServiceFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Facades\UserServiceFacade.php", "PHP", -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APICategoriesController.php", "PHP", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIProductsController.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APISubcategoriesController.php", "PHP", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIUsersController.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\ProductsAdminPanelController.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\UsersAdminPanelController.php", "PHP", -2, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CatalogController.php", "PHP", -23, 0, 0, 0, 0, 0, 0, 0, -23
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerAuthController.php", "PHP", 37, 0, 0, 0, 0, 0, 0, -1, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerController.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerOrdersController.php", "PHP", 7, 0, 0, 0, 0, 0, 1, 4, 12
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerProductsController.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 4, 79
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerReviewsController.php", "PHP", 7, 0, 0, 0, 0, 0, 1, 4, 12
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php", "PHP", 22, 0, 0, 0, 0, 0, -6, 0, 16
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserCartController.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserOrderController.php", "PHP", -19, 0, 0, 0, 0, 0, 0, 0, -19
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserReviewController.php", "PHP", -36, 0, 0, 0, 0, 0, 0, 0, -36
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\APIProductsRequest.php", "PHP", 22, 0, 0, 0, 0, 0, 10, 5, 37
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\APIProductsSearchRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\Seller\SellerLoginRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\Seller\SellerRegisterRequest.php", "PHP", 22, 0, 0, 0, 0, 0, 10, 5, 37
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserEditProfileRequest.php", "PHP", -24, 0, 0, 0, 0, 0, -10, -5, -39
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserLoginRequest.php", "PHP", -17, 0, 0, 0, 0, 0, -10, -5, -32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserRegisterRequest.php", "PHP", -25, 0, 0, 0, 0, 0, -10, -5, -40
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserEditProfileRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserLoginRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserRegisterRequest.php", "PHP", 36, 0, 0, 0, 0, 0, 10, 5, 51
