Date : 2024-10-19 23:35:17
Directory : c:\Users\admin\source\repos\Silerium_laravel
Total : 262 files,  31961 codes, 17357 comments, 1663 blanks, all 50981 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        243 |     17,845 |     17,331 |      1,618 |     36,794 |
| JSON       |          5 |     13,511 |          0 |          5 |     13,516 |
| SQL        |          1 |        344 |          0 |          3 |        347 |
| JavaScript |          6 |        133 |         23 |         15 |        171 |
| CSS        |          3 |         83 |          2 |         19 |        104 |
| XML        |          1 |         29 |          0 |          1 |         30 |
| Properties |          1 |          9 |          0 |          0 |          9 |
| Ini        |          1 |          5 |          1 |          1 |          7 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        262 |     31,961 |     17,357 |      1,663 |     50,981 |
| . (Files)                                                                                                                 |         13 |     22,977 |     15,474 |        373 |     38,824 |
| .osp                                                                                                                      |          2 |         14 |          1 |          1 |         16 |
| .osp (Files)                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| .osp\Apache                                                                                                               |          1 |          9 |          0 |          0 |          9 |
| app                                                                                                                       |        112 |      2,952 |        687 |        550 |      4,189 |
| app\ApiFilters                                                                                                            |          2 |         53 |          0 |         12 |         65 |
| app\ApiFilters (Files)                                                                                                    |          1 |          9 |          0 |          4 |         13 |
| app\ApiFilters\V1                                                                                                         |          1 |         44 |          0 |          8 |         52 |
| app\Console                                                                                                               |          1 |         15 |         12 |          6 |         33 |
| app\Enum                                                                                                                  |          4 |         43 |          0 |          4 |         47 |
| app\Exceptions                                                                                                            |          1 |         21 |         23 |          7 |         51 |
| app\Facades                                                                                                               |          6 |         60 |          0 |         17 |         77 |
| app\Http                                                                                                                  |         47 |      1,359 |        269 |        219 |      1,847 |
| app\Http (Files)                                                                                                          |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                                      |         23 |        950 |         68 |        109 |      1,127 |
| app\Http\Controllers (Files)                                                                                              |          3 |         30 |          0 |         12 |         42 |
| app\Http\Controllers\API                                                                                                  |          5 |        195 |         66 |         30 |        291 |
| app\Http\Controllers\API\V1                                                                                               |          5 |        195 |         66 |         30 |        291 |
| app\Http\Controllers\Admin                                                                                                |          3 |        188 |          0 |         13 |        201 |
| app\Http\Controllers\Product                                                                                              |          2 |         70 |          0 |          7 |         77 |
| app\Http\Controllers\Seller                                                                                               |          5 |        159 |          2 |         20 |        181 |
| app\Http\Controllers\User                                                                                                 |          5 |        308 |          0 |         27 |        335 |
| app\Http\Middleware                                                                                                       |         10 |        124 |         70 |         43 |        237 |
| app\Http\Requests                                                                                                         |          8 |        182 |         80 |         40 |        302 |
| app\Http\Requests\API                                                                                                     |          2 |         39 |         20 |         10 |         69 |
| app\Http\Requests\Seller                                                                                                  |          2 |         39 |         20 |         10 |         69 |
| app\Http\Requests\User                                                                                                    |          4 |        104 |         40 |         20 |        164 |
| app\Http\Resources                                                                                                        |          5 |         62 |         30 |         20 |        112 |
| app\Http\Resources\V1                                                                                                     |          5 |         62 |         30 |         20 |        112 |
| app\Models                                                                                                                |         11 |        385 |         53 |         80 |        518 |
| app\Providers                                                                                                             |         10 |        218 |        112 |         56 |        386 |
| app\Services                                                                                                              |         17 |        569 |        135 |         91 |        795 |
| app\View                                                                                                                  |         13 |        229 |         83 |         58 |        370 |
| app\View\Components                                                                                                       |         13 |        229 |         83 |         58 |        370 |
| app\View\Components (Files)                                                                                               |          9 |        161 |         83 |         46 |        290 |
| app\View\Components\ComponentsInputs                                                                                      |          4 |         68 |          0 |         12 |         80 |
| app\View\Components\ComponentsInputs\SearchForm                                                                           |          4 |         68 |          0 |         12 |         80 |
| bootstrap                                                                                                                 |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                    |         15 |        580 |        718 |        250 |      1,548 |
| database                                                                                                                  |         31 |      1,037 |        251 |        124 |      1,412 |
| database\factories                                                                                                        |         10 |        218 |         85 |         41 |        344 |
| database\migrations                                                                                                       |         13 |        333 |        130 |         52 |        515 |
| database\schema                                                                                                           |          1 |        344 |          0 |          3 |        347 |
| database\seeders                                                                                                          |          7 |        142 |         36 |         28 |        206 |
| lang                                                                                                                      |          7 |        685 |         60 |         33 |        778 |
| lang\en                                                                                                                   |          4 |        165 |         60 |         24 |        249 |
| lang\ru                                                                                                                   |          3 |        520 |          0 |          9 |        529 |
| public                                                                                                                    |          2 |         94 |         30 |         31 |        155 |
| public (Files)                                                                                                            |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                                |          1 |         80 |          0 |         19 |         99 |
| resources                                                                                                                 |         59 |      2,964 |         24 |        122 |      3,110 |
| resources\css                                                                                                             |          1 |          2 |          0 |          0 |          2 |
| resources\js                                                                                                              |          2 |         13 |         23 |          8 |         44 |
| resources\views                                                                                                           |         56 |      2,949 |          1 |        114 |      3,064 |
| resources\views (Files)                                                                                                   |          3 |        113 |          0 |          3 |        116 |
| resources\views\admin                                                                                                     |         13 |        666 |          0 |         23 |        689 |
| resources\views\admin (Files)                                                                                             |          3 |        107 |          0 |          5 |        112 |
| resources\views\admin\products                                                                                            |          4 |        310 |          0 |          5 |        315 |
| resources\views\admin\users                                                                                               |          6 |        249 |          0 |         13 |        262 |
| resources\views\catalog                                                                                                   |          3 |        253 |          1 |         13 |        267 |
| resources\views\categories                                                                                                |          2 |         55 |          0 |          4 |         59 |
| resources\views\components                                                                                                |          9 |        535 |          0 |         26 |        561 |
| resources\views\pagination                                                                                                |          1 |         49 |          0 |          4 |         53 |
| resources\views\seller                                                                                                    |         10 |        462 |          0 |         14 |        476 |
| resources\views\seller (Files)                                                                                            |          2 |         17 |          0 |          0 |         17 |
| resources\views\seller\auth                                                                                               |          2 |        100 |          0 |          3 |        103 |
| resources\views\seller\orders                                                                                             |          1 |          2 |          0 |          1 |          3 |
| resources\views\seller\products                                                                                           |          5 |        343 |          0 |         10 |        353 |
| resources\views\user                                                                                                      |         15 |        816 |          0 |         27 |        843 |
| resources\views\user (Files)                                                                                              |          3 |        272 |          0 |          8 |        280 |
| resources\views\user\auth                                                                                                 |          6 |        266 |          0 |         12 |        278 |
| resources\views\user\orders                                                                                               |          3 |        109 |          0 |          5 |        114 |
| resources\views\user\review                                                                                               |          3 |        169 |          0 |          2 |        171 |
| routes                                                                                                                    |          7 |        148 |         40 |         28 |        216 |
| routes (Files)                                                                                                            |          2 |         11 |         20 |          8 |         39 |
| routes\api                                                                                                                |          1 |         26 |         10 |          4 |         40 |
| routes\web                                                                                                                |          4 |        111 |         10 |         16 |        137 |
| tests                                                                                                                     |         11 |        486 |         40 |        141 |        667 |
| tests (Files)                                                                                                             |          2 |         20 |          5 |         11 |         36 |
| tests\Feature                                                                                                             |          9 |        466 |         35 |        130 |        631 |
| tests\Feature\API                                                                                                         |          4 |        210 |         20 |         55 |        285 |
| tests\Feature\Seller                                                                                                      |          1 |         38 |          5 |         13 |         56 |
| tests\Feature\User                                                                                                        |          4 |        218 |         10 |         62 |        290 |
| vendor                                                                                                                    |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                             |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                    |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                          |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                 |          2 |          7 |          2 |          1 |         10 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\admin\source\repos\Silerium_laravel\.osp\Apache\info-silerium.com.conf                                           | Properties |          9 |          0 |          0 |          9 |
| c:\Users\admin\source\repos\Silerium_laravel\.osp\project.ini                                                             | Ini        |          5 |          1 |          1 |          7 |
| c:\Users\admin\source\repos\Silerium_laravel\.phpstorm.meta.php                                                           | PHP        |      2,270 |          7 |          6 |      2,283 |
| c:\Users\admin\source\repos\Silerium_laravel\README.md                                                                    | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\admin\source\repos\Silerium_laravel\_ide_helper.php                                                              | PHP        |      7,194 |     15,162 |        340 |     22,696 |
| c:\Users\admin\source\repos\Silerium_laravel\_ide_helper_models.php                                                       | PHP        |         34 |        305 |         15 |        354 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\ApiFilter.php                                                 | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\V1\ProductFilter.php                                          | PHP        |         44 |          0 |          8 |         52 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Console\Kernel.php                                                       | PHP        |         15 |         12 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\OrderStatus.php                                                     | PHP        |         16 |          0 |          1 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\OrganizationType.php                                                | PHP        |          8 |          0 |          1 |          9 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\SortOrder.php                                                       | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\TaxSystem.php                                                       | PHP        |          8 |          0 |          1 |          9 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Exceptions\Handler.php                                                   | PHP        |         21 |         23 |          7 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\CheckUserRoleFacade.php                                          | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ConvertCurrencyFacade.php                                        | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ProductCartServiceFacade.php                                     | PHP        |         10 |          0 |          2 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidateEmailFacade.php                                          | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePasswordHashFacade.php                                   | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePhoneFacade.php                                          | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APICategoriesController.php                      | PHP        |         39 |         30 |          8 |         77 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIHomeController.php                            | PHP        |         11 |          0 |          4 |         15 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIProductsController.php                        | PHP        |         81 |          0 |          5 |         86 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APISubcategoriesController.php                   | PHP        |         40 |         30 |          8 |         78 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIUsersController.php                           | PHP        |         24 |          6 |          5 |         35 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\AdminPanelController.php                          | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\ProductsAdminPanelController.php                  | PHP        |         74 |          0 |          5 |         79 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\UsersAdminPanelController.php                     | PHP        |         96 |          0 |          4 |        100 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Controller.php                                          | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\FallbackController.php                                  | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\HomeController.php                                      | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CatalogController.php                           | PHP        |         52 |          0 |          3 |         55 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CategoriesController.php                        | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerAuthController.php                         | PHP        |         55 |          0 |          4 |         59 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerController.php                             | PHP        |         15 |          0 |          4 |         19 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerOrdersController.php                       | PHP        |          7 |          1 |          4 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerProductsController.php                     | PHP        |         75 |          0 |          4 |         79 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Seller\SellerReviewsController.php                      | PHP        |          7 |          1 |          4 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php                             | PHP        |        151 |          0 |         10 |        161 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserCartController.php                             | PHP        |         52 |          0 |          5 |         57 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserController.php                                 | PHP        |         30 |          0 |          4 |         34 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserOrderController.php                            | PHP        |         32 |          0 |          4 |         36 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserReviewController.php                           | PHP        |         43 |          0 |          4 |         47 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Kernel.php                                                          | PHP        |         41 |         21 |          7 |         69 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\Authenticate.php                                         | PHP        |         12 |          6 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\AuthorizeAdminPanelMiddleware.php                        | PHP        |         24 |          7 |          4 |         35 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\EncryptCookies.php                                       | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php                     | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\RedirectIfAuthenticated.php                              | PHP        |         19 |          8 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrimStrings.php                                          | PHP        |         11 |          5 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustHosts.php                                           | PHP        |         12 |          5 |          4 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustProxies.php                                         | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\ValidateSignature.php                                    | PHP        |          8 |         11 |          4 |         23 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\VerifyCsrfToken.php                                      | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\APIProductsRequest.php                                 | PHP        |         22 |         10 |          5 |         37 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\APIProductsSearchRequest.php                           | PHP        |         17 |         10 |          5 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\Seller\SellerLoginRequest.php                              | PHP        |         17 |         10 |          5 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\Seller\SellerRegisterRequest.php                           | PHP        |         22 |         10 |          5 |         37 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserEditProfileRequest.php                            | PHP        |         25 |         10 |          5 |         40 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserLoginRequest.php                                  | PHP        |         18 |         10 |          5 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserRegisterRequest.php                               | PHP        |         36 |         10 |          5 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserReviewRequest.php                                 | PHP        |         25 |         10 |          5 |         40 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ImagesCollection.php                                   | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsCollection.php                                 | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsResource.php                                   | PHP        |         22 |          6 |          4 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ReviewsCollection.php                                  | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\SpecificationsCollection.php                           | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Category.php                                                      | PHP        |         19 |          3 |          7 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php                                                         | PHP        |         45 |          3 |          9 |         57 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php                                                       | PHP        |         53 |          4 |          7 |         64 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductImage.php                                                  | PHP        |         13 |          3 |          6 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductSpecifications.php                                         | PHP        |         18 |          3 |          4 |         25 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php                                                        | PHP        |         36 |          4 |          7 |         47 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ReviewsImages.php                                                 | PHP        |         13 |          3 |          6 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Role.php                                                          | PHP        |         18 |          3 |          7 |         28 |
